question,answer_llm,answer_orig,document
Is it still okay to join this course if I found it late?,"Yes, you can still join the course even if you found it late. If you want a certificate, make sure you submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I enroll after the course has already started?,"You can start whenever you want, so yes, you can enroll after the course has already started. The videos and GitHub materials are available, and the deadlines are listed on the course management platform.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join the course now, can I still get a certificate?","Yes, but only if you join the live cohort and submit your project while submissions are still open. Certificates are not available for self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I need to finish the project before submissions close to get certified?,I don't know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What’s the deadline for submitting the project if I want the certificate?,"If you want a certificate, you need to submit your project while submissions are still open. There isn’t a specific deadline given here, just that you must submit before the project submission form closes.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Do I actually need to wait for a confirmation email after registering, or can I just start the course?","You don’t need to wait for a confirmation email. You’re accepted, and you can start learning and submitting homework as long as the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I signed up for the LLM Zoomcamp, does that mean I’m already accepted?","Yes — if you registered for the LLM Zoomcamp, you’re accepted. The registration is only to gauge interest, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I begin watching lessons and turning in homework before getting any email confirmation?,"Yes. You can start watching the lessons and submitting homework without waiting for an email confirmation. The registration is just for gauging interest, and it isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is homework checked against a list of registered students, or can anyone submit while the form is open?",Anyone can submit while the form is open. It is **not checked against a registered list**. Registration is just to gauge interest before the start date.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registration if it doesn’t seem to affect access to the course?,"Registration is just to gauge interest before the start date. It doesn’t control access to the course, and you can start learning and submitting homework while the form is open even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link is only for instructors?,"Students don’t use the Zoom link directly. The Zoom link is only for instructors/presenters/TAs.

For Office Hours or live workshop sessions, students should join via:
- **YouTube Live** for the video stream
- **Slido** for questions (the link is pinned in chat when live)
- The stream URL is also posted in the **announcements channel on Telegram and Slack** before the session starts

You can also watch live on the **DataTalksClub YouTube channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where can I find the live video link for workshop sessions before they start?,The live video URL should be posted in the announcements channel on Telegram and Slack before the session starts. You can also watch it live on the DataTalksClub YouTube channel.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Do I watch the course live sessions on YouTube or Zoom as a student?,"As a student, you watch the live sessions on **YouTube Live**, not Zoom.

The **Zoom link is only for instructors/presenters/TAs**. Students can submit questions through **Slido** during the live session.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How are questions supposed to be submitted during Office Hours if not in the chat?,"Questions during Office Hours should be submitted via **Slido**, not in the chat. The Slido link is pinned in the chat when the session is live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Which place should I check for the stream URL and live session updates, Telegram or Slack?",Check the **announcements channel on both Telegram and Slack** for the stream URL and live session updates.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do I begin LLM Zoomcamp and what should I check first?,"Start with these three things:

1. The **LLM Zoomcamp docs**  
2. The **general Zoomcamp logistics docs**  
3. The **LLM Zoomcamp GitHub repository**

You can begin **whenever you want** since the videos and GitHub materials are already available. Also, **check the course management platform first** for the current syllabus, deadlines, homework, and progress tracking.

A typical workflow is:
- Watch the lesson videos
- Work through the lesson notebooks/code
- Read the homework instructions on GitHub
- Submit answers through the course platform before the deadline

So, in short: **check the course management platform for deadlines/progress, then start with the docs and GitHub repo.**","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What’s the usual weekly routine for this course after I watch the lessons?,"A typical weekly workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit your answers through the course platform before the deadline.

Homework usually follows the lesson flow, but with a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Where can I find the videos, notebooks, homework details, and deadlines in one place?","Use the **LLM Zoomcamp GitHub repository** as the main entry point for the **videos and notebooks**, and the **course management platform** for the **homework details and deadlines**.

- GitHub repo: https://github.com/DataTalksClub/llm-zoomcamp
- Course platform: https://courses.datatalks.club/llm-zoomcamp-2026/

The repo has the lesson materials and videos linked from each lesson page, while the course platform contains the current cohort structure, homework, deadlines, and progress tracking.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I have to start the course at a fixed time, or can I join whenever I want?","You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson exercises, or is it different?","Homework is **similar to the lesson exercises**, but **not exactly the same**.

According to the course guidance, it usually:

- follows the **same workflow/idea** as the lesson,
- but uses a **different dataset** or asks you to apply the idea in a **slightly different way**.

So you should expect it to be related, but not identical.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can’t spot it right away?,Click the **“Jump to your record on the leaderboard”** link. That will take you directly to your entry.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why am I shown a random name on the leaderboard, and can I change it?","When you set up your account, you’re automatically assigned a random public display name, like “Lucid Elbakyan,” for the leaderboard. This is why you see a random name.

Yes, you can change it. Go to **Edit Course Profile** and change the **first field** — that’s your nickname/display name shown on the leaderboard.

If you also want to change the name that appears on your certificate, edit the **second field** with your official name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my display name is for the course?,You can check it in **“Edit Course Profile”** — the **first field** is your **display name / public nickname** for the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What should I put in the profile fields if I want a different nickname on Slack or GitHub?,"Put your Slack username, GitHub username, or any other nickname you want in the **first profile field**.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
How do I make sure my real name appears on the certificate instead of the default random name?,"To make sure your real name appears on the certificate, go to **Edit Course Profile** and set the **second field** to your official name as it appears on your ID/passport.

The **first field** is for your public nickname/display name, which shows on the leaderboard. The certificate name is separate and is the one printed on your certificate. If you leave it as the default random name, that’s what will appear on the certificate instead.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I do the course at my own pace and still get a certificate at the end?,"No. You can only get a certificate if you finish the course with a live cohort, not in self-paced mode.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is there any way to earn the certificate if I’m not in the live cohort?,No. You can only earn the certificate if you finish the course with a live cohort. Self-paced participants do not get certificates.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why aren’t certificates given for the self-paced version of the course?,"We don’t award certificates for the self-paced mode because certification requires peer-reviewing 3 capstone projects after submitting your own project. That peer-review process can only happen while the course is running with a live cohort, before the review form closes and the peer-review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to be in the running cohort to complete the peer reviews required for the certificate?,"Yes. To earn the certificate, you need to finish the course with a live cohort, because you must peer-review 3 capstones, and those peer reviews are only available while the course is running. If you do it in self-paced mode, you won’t be able to complete that requirement.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"After the course form closes, can I still do the project reviews needed for certification?","No. You can only do the required project peer reviews while the course is running. After the course form is closed and the peer-review list is compiled, you can no longer do them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
