question,document
Is it still okay to join this course if I found it late?,74eb249bbf
Can I enroll after the course has already started?,74eb249bbf
"If I join the course now, can I still get a certificate?",74eb249bbf
Do I need to finish the project before submissions close to get certified?,74eb249bbf
What’s the deadline for submitting the project if I want the certificate?,74eb249bbf
"Do I actually need to wait for a confirmation email after registering, or can I just start the course?",977bf7786c
"If I signed up for the LLM Zoomcamp, does that mean I’m already accepted?",977bf7786c
Can I begin watching lessons and turning in homework before getting any email confirmation?,977bf7786c
"Is homework checked against a list of registered students, or can anyone submit while the form is open?",977bf7786c
What’s the point of registration if it doesn’t seem to affect access to the course?,977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link is only for instructors?,489dd1c9d9
Where can I find the live video link for workshop sessions before they start?,489dd1c9d9
Do I watch the course live sessions on YouTube or Zoom as a student?,489dd1c9d9
How are questions supposed to be submitted during Office Hours if not in the chat?,489dd1c9d9
"Which place should I check for the stream URL and live session updates, Telegram or Slack?",489dd1c9d9
How do I begin LLM Zoomcamp and what should I check first?,04919992b3
What’s the usual weekly routine for this course after I watch the lessons?,04919992b3
"Where can I find the videos, notebooks, homework details, and deadlines in one place?",04919992b3
"Do I have to start the course at a fixed time, or can I join whenever I want?",04919992b3
"Is the homework basically the same as the lesson exercises, or is it different?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot it right away?,c2903069a0
"Why am I shown a random name on the leaderboard, and can I change it?",c2903069a0
Where can I check what my display name is for the course?,c2903069a0
What should I put in the profile fields if I want a different nickname on Slack or GitHub?,c2903069a0
How do I make sure my real name appears on the certificate instead of the default random name?,c2903069a0
Can I do the course at my own pace and still get a certificate at the end?,69d122f12e
Is there any way to earn the certificate if I’m not in the live cohort?,69d122f12e
Why aren’t certificates given for the self-paced version of the course?,69d122f12e
Do I need to be in the running cohort to complete the peer reviews required for the certificate?,69d122f12e
"After the course form closes, can I still do the project reviews needed for certification?",69d122f12e
Do I still get the certificate if I skipped the first homework?,9f689c185f
"Is homework required to earn the course certificate, or is the capstone enough?",9f689c185f
"If I miss one or more homeworks, can I still finish the course and get certified?",9f689c185f
What do I actually need to pass in order to receive the certificate?,9f689c185f
"Are the homework points mandatory for the certificate, or just for the leaderboard?",9f689c185f
Why does the homework keep changing before the deadline?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework assignment is actually ready to do?,96286b4be4
Is it safe to start working on homework if the form is already open but the title still says [DRAFT]?,96286b4be4
"Can the homework content still change after it’s posted, and how do I know when it won’t?",96286b4be4
When is the next run of the course scheduled for?,bd31146b0e
Do you know when this course will be offered again?,bd31146b0e
What’s the next time this course starts?,bd31146b0e
Any idea when the course will be available next?,bd31146b0e
When can I expect the next course session?,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f
Is there a main place I should start if I want the lesson videos?,31456f4b5f
"Do the lesson pages include links to the videos, or do I need to search elsewhere?",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the course content?,31456f4b5f
Where exactly are the lesson videos listed in the LLM Zoomcamp materials?,31456f4b5f
Where do I go to see the LLM Zoomcamp syllabus and all the deadlines?,20c5a1347e
"Is there one place to track homework, cohort info, and my progress for this course?",20c5a1347e
How can I follow the current LLM Zoomcamp schedule and stay on top of assignments?,20c5a1347e
"What platform should I use to check the course structure, homework, and deadlines?",20c5a1347e
Where is the official place for keeping track of LLM Zoomcamp progress and course updates?,20c5a1347e
"Are there office hours or live classes for every module in the course, or is everything just recorded?",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help and is there a preferred way to do it?",d65e05bd7a
"Does the course have scheduled live sessions, or are those only announced sometimes?",d65e05bd7a
Is there any paid option that gives regular Zoom office hours or extra support for this course?,d65e05bd7a
"Do I need to join a separate community to get live help, or can I just use the free course materials and Slack?",d65e05bd7a
Can I count a Bluesky post toward the learning in public credits for this course?,dbf5369006
"Do Bluesky updates qualify for the public learning credits, or is it only for other platforms?",dbf5369006
"If I share my progress on Bluesky, will that still be accepted as learning in public credit?",dbf5369006
Are Bluesky posts valid when I want to claim credits for learning in public?,dbf5369006
I usually post on Bluesky — can those posts be used to get learning in public credits?,dbf5369006
What's the Telegram link for LLM Zoomcamp announcements?,054f3fd58f
"Is there a Telegram channel for the course, and where can I join it?",054f3fd58f
Where do I find the LLM Zoomcamp Telegram group?,054f3fd58f
Can you share the Telegram channel URL for LLM Zoomcamp?,054f3fd58f
What Telegram channel should I use for LLM Zoomcamp updates?,054f3fd58f
Why does my FAQ dataset have a different number of records than the one shown in the videos?,e2d595f23c
Is it normal if the live FAQ data count doesn't match the course recording?,e2d595f23c
Why are some FAQ questions missing or new ones added compared to the videos?,e2d595f23c
The dataset size changed when I ran the code — is that because the FAQ source is updated over time?,e2d595f23c
Should I expect the FAQ records in the course to be different from what I see now?,e2d595f23c
"The deadline already passed, but the homework form is still open. Can I still send my answers?",a9353fadfe
"If the submission page hasn’t closed yet, does that mean late homework is still allowed?",a9353fadfe
Is it okay to submit the assignment after the deadline as long as the form is still available?,a9353fadfe
When does homework submission actually stop — at the deadline or only when the form closes?,a9353fadfe
"I missed the deadline, but the form is still open. Should I submit now or is it too late?",a9353fadfe
"Can I still turn in homework after the deadline has passed, or is it locked right away?",cdc3b285e5
Do you ever give individual deadline extensions for homework submissions?,cdc3b285e5
"If I miss one homework, does that mean I can't get the course certificate?",cdc3b285e5
"Are homework assignments required, or is the Capstone project the only mandatory part?",cdc3b285e5
"Do homework scores matter for the certificate, or are they only used for leaderboard ranking?",cdc3b285e5
Will the name I enter for the certificate be visible on the public leaderboard or shared anywhere else?,651ba06b34
"Does the certificate name get published online, or is it only printed on the certificate itself?",651ba06b34
What’s the difference between the public display name and the certificate name in Edit Course Profile?,651ba06b34
Can I keep my real name off the leaderboard but still have it on the certificate?,651ba06b34
Is the leaderboard nickname separate from the official name used for the certificate?,651ba06b34
Why don’t we use LangChain in this course from the start?,b7cdde6b25
Is there a reason the course makes us build RAG parts by hand instead of using a framework?,b7cdde6b25
Should I learn the basics first before relying on LangChain or similar tools?,b7cdde6b25
"What’s the benefit of understanding prompting, retrieval, indexing, and evaluation without a library wrapping them?",b7cdde6b25
Is LangChain something we can use later after we know how the core RAG pieces work?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
"What does the OpenAI `responses.create` command failing with ""Insufficient credits"" usually mean?",f5df151c59
How can I fix the error when OpenAI says I have insufficient credits while using `responses.create`?,f5df151c59
Is the `responses.create` error caused by my code or just because my OpenAI account has no credits?,f5df151c59
What should I check in my OpenAI account if `responses.create` gives an insufficient credits error?,f5df151c59
Why am I getting a RateLimitError 429 from OpenAI even though my code seems fine?,152af39a53
"Does OpenAI API have any free quota, or do I need to add billing before using it?",152af39a53
How do I fix the 'insufficient_quota' error when calling the OpenAI API?,152af39a53
Which model should I pick in `responses.create(...)` if `gpt-4o` is not available to me?,152af39a53
"After adding credits, do I need to generate a new API key for the quota change to work?",152af39a53
How much money do I need to start using the OpenAI API for this course?,554d0eb78b
